qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner mixed.txt hints.txt
TRACE tick=59 pid=10 pri=0 slice=1
TRACE tick=59 pid=7 pri=0 slice=0
TRACE tick=60 pid=7 pri=0 slice=1
TRACE tick=60 pid=10 pri=0 slice=0
TRACE tick=61 pid=7 pri=0 slice=0
TRACE tick=61 pid=10 pri=0 slice=1
TRACE tick=62 pid=7 pri=0 slice=0
TRACE tick=62 pid=6 pri=1 slice=1
TRACE tick=62 pid=9 pri=1 slice=0
TRACE tick=63 pid=6 pri=1 slice=0
TRACE tick=63 pid=6 pri=1 slice=0
TRACE tick=63 pid=7 pri=0 slice=0
TRACE tick=63 pid=9 pri=1 slice=0
TRACE tick=63 pid=10 pri=1 slice=0
TRACE tick=64 pid=6 pri=1 slice=0
TRACE tick=64 pid=10 pri=1 slice=1
TRACE tick=64 pid=7 pri=0 slice=0
TRACE tick=65 pid=7 pri=0 slice=0
TRACE tick=65 pid=7 pri=0 slice=0
TRACE tick=65 pid=7 pri=0 slice=0
TRACE tick=65 pid=7 pri=0 slice=0
TRACE tick=65 pid=6 pri=1 slice=0
TRACE tick=66 pid=7 pri=0 slice=0
TRACE tick=66 pid=7 pri=0 slice=0
TRACE tick=66 pid=7 pri=0 slice=0
TRACE tick=66 pid=7 pri=0 slice=0
TRACE tick=66 pid=7 pri=0 slice=0
TRACE tick=66 pid=7 pri=0 slice=0
TRACE tick=67 pid=7 pri=0 slice=0
TRACE tick=67 pid=6 pri=1 slice=0
TRACE tick=67 pid=7 pri=0 slice=0
TRACE tick=67 pid=7 pri=0 slice=0
TRACE tick=67 pid=7 pri=0 slice=0
TRACE tick=67 pid=7 pri=0 slice=0
TRACE tick=67 pid=7 pri=0 slice=0
TRACE tick=68 pid=7 pri=0 slice=0
TRACE tick=68 pid=7 pri=0 slice=0
TRACE tick=68 pid=7 pri=0 slice=0
TRACE tick=68 pid=7 pri=0 slice=0
TRACE tick=68 pid=7 pri=0 slice=0
TRACE tick=68 pid=6 pri=1 slice=0
TRACE tick=68 pid=7 pri=0 slice=0
TRACE tick=69 pid=7 pri=0 slice=0
TRACE tick=69 pid=7 pri=0 slice=0
TRACE tick=69 pid=6 pri=1 slice=0
TRACE tick=69 pid=7 pri=0 slice=0
TRACE tick=69 pid=9 pri=1 slice=0
TRACE tick=69 pid=7 pri=0 slice=0
TRACE tick=70 pid=7 pri=0 slice=0
TRACE tick=70 pid=6 pri=1 slice=0
TRACE tick=70 pid=7 pri=0 slice=0
TRACE tick=70 pid=7 pri=0 slice=0
TRACE tick=70 pid=10 pri=1 slice=0
TRACE tick=70 pid=7 pri=0 slice=0
TRACE tick=70 pid=4 pri=2 slice=0
TRACE tick=70 pid=7 pri=0 slice=0
TRACE tick=71 pid=7 pri=0 slice=0
TRACE tick=71 pid=6 pri=1 slice=0
TRACE tick=71 pid=7 pri=0 slice=0
TRACE tick=71 pid=5 pri=2 slice=0
TRACE tick=71 pid=7 pri=0 slice=0
TRACE tick=71 pid=9 pri=1 slice=0
TRACE tick=72 pid=7 pri=0 slice=0
TRACE tick=72 pid=6 pri=1 slice=0
TRACE tick=72 pid=7 pri=0 slice=0
TRACE tick=72 pid=7 pri=0 slice=0
TRACE tick=73 pid=7 pri=0 slice=0
TRACE tick=73 pid=7 pri=0 slice=0
TRACE tick=73 pid=7 pri=0 slice=0
TRACE tick=73 pid=7 pri=0 slice=0
TRACE tick=73 pid=7 pri=0 slice=0
TRACE tick=73 pid=7 pri=0 slice=0
TRACE tick=74 pid=7 pri=0 slice=0
TRACE tick=74 pid=7 pri=0 slice=0
TRACE tick=74 pid=7 pri=0 slice=0
TRACE tick=74 pid=7 pri=0 slice=0
TRACE tick=74 pid=7 pri=0 slice=0
TRACE tick=74 pid=6 pri=1 slice=0
TRACE tick=74 pid=7 pri=0 slice=0
TRACE tick=75 pid=7 pri=0 slice=1
TRACE tick=75 pid=6 pri=1 slice=0
TRACE tick=75 pid=7 pri=0 slice=0
TRACE tick=75 pid=8 pri=1 slice=0
TRACE tick=75 pid=7 pri=0 slice=0
TRACE tick=75 pid=7 pri=0 slice=0
TRACE tick=76 pid=6 pri=1 slice=0
TRACE tick=76 pid=7 pri=0 slice=0
TRACE tick=76 pid=7 pri=0 slice=0
TRACE tick=76 pid=7 pri=0 slice=0
TRACE tick=76 pid=8 pri=1 slice=0
TRACE tick=76 pid=7 pri=0 slice=0
TRACE tick=76 pid=9 pri=1 slice=0
TRACE tick=77 pid=7 pri=0 slice=0
TRACE tick=77 pid=7 pri=0 slice=0
TRACE tick=77 pid=7 pri=0 slice=0
TRACE tick=77 pid=7 pri=0 slice=0
TRACE tick=77 pid=7 pri=0 slice=0
TRACE tick=77 pid=6 pri=1 slice=0
TRACE tick=78 pid=7 pri=0 slice=0
TRACE tick=78 pid=7 pri=0 slice=0
TRACE tick=78 pid=7 pri=0 slice=0
TRACE tick=78 pid=6 pri=1 slice=0
TRACE tick=78 pid=7 pri=0 slice=0
TRACE tick=79 pid=6 pri=1 slice=0
TRACE tick=79 pid=7 pri=0 slice=0
TRACE tick=79 pid=8 pri=1 slice=0
TRACE tick=79 pid=7 pri=0 slice=0
TRACE tick=79 pid=9 pri=1 slice=0
TRACE tick=79 pid=7 pri=0 slice=0
TRACE tick=79 pid=7 pri=0 slice=0
TRACE tick=79 pid=10 pri=1 slice=0
TRACE tick=80 pid=7 pri=0 slice=0
TRACE tick=80 pid=7 pri=0 slice=0
TRACE tick=80 pid=7 pri=0 slice=0
TRACE tick=80 pid=6 pri=1 slice=0
TRACE tick=80 pid=7 pri=0 slice=0
TRACE tick=80 pid=8 pri=1 slice=0
TRACE tick=80 pid=7 pri=0 slice=0
TRACE tick=81 pid=7 pri=0 slice=0
TRACE tick=81 pid=6 pri=1 slice=0
TRACE tick=81 pid=7 pri=0 slice=0
TRACE tick=81 pid=9 pri=1 slice=0
TRACE tick=81 pid=7 pri=0 slice=0
TRACE tick=81 pid=10 pri=1 slice=0
TRACE tick=81 pid=7 pri=0 slice=0
TRACE tick=82 pid=6 pri=1 slice=0
TRACE tick=82 pid=7 pri=0 slice=0
TRACE tick=82 pid=7 pri=0 slice=0
TRACE tick=82 pid=8 pri=1 slice=0
