make: Warning: File 'fs.img' has modification time 0.23 s in the future
qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner realprog.txt hints.txt
wTRACE tick=42 pid=4 pri=0 slice=0
sTRACE tick=43 pid=4 pri=0 slice=0
 TRACE tick=43 pid=4 pri=0 slice=0
tTRACE tick=43 pid=4 pri=0 slice=0
hTRACE tick=43 pid=4 pri=0 slice=0
eTRACE tick=43 pid=4 pri=0 slice=0
 TRACE tick=43 pid=4 pri=0 slice=0
sTRACE tick=43 pid=4 pri=0 slice=0
tTRACE tick=43 pid=4 pri=0 slice=0
rTRACE tick=44 pid=4 pri=0 slice=0
uTRACE tick=44 pid=4 pri=0 slice=0
cTRACE tick=44 pid=4 pri=0 slice=0
tTRACE tick=44 pid=4 pri=0 slice=0
uTRACE tick=44 pid=4 pri=0 slice=0
rTRACE tick=44 pid=4 pri=0 slice=0
eTRACE tick=44 pid=4 pri=0 slice=0
 TRACE tick=45 pid=4 pri=0 slice=0
aTRACE tick=45 pid=4 pri=0 slice=0
nTRACE tick=45 pid=4 pri=0 slice=0
dTRACE tick=45 pid=4 pri=0 slice=0
 TRACE tick=45 pid=4 pri=0 slice=0
stTRACE tick=45 pid=4 pri=0 slice=0
yTRACE tick=45 pid=4 pri=0 slice=0
lTRACE tick=46 pid=4 pri=0 slice=0
eTRACE tick=46 pid=4 pri=0 slice=0
 TRACE tick=46 pid=4 pri=0 slice=0
oTRACE tick=46 pid=4 pri=0 slice=0
fTRACE tick=46 pid=4 pri=0 slice=0
 TRACE tick=46 pid=4 pri=0 slice=0
vTRACE tick=46 pid=4 pri=0 slice=0
6TRACE tick=46 pid=4 pri=0 slice=0
,TRACE tick=47 pid=4 pri=0 slice=0
TRACE tick=47 pid=4 pri=0 slice=0

TRACE tick=47 pid=4 pri=0 slice=0
bTRACE tick=47 pid=4 pri=0 slice=0
uTRACE tick=47 pid=4 pri=0 slice=0
tTRACE tick=47 pid=4 pri=0 slice=0
 TRACE tick=47 pid=4 pri=0 slice=0
iTRACE tick=47 pid=4 pri=0 slice=0
sTRACE tick=48 pid=4 pri=0 slice=0
 TRACE tick=48 pid=4 pri=0 slice=0
iTRACE tick=48 pid=4 pri=0 slice=0
mTRACE tick=48 pid=4 pri=0 slice=0
pTRACE tick=48 pid=4 pri=0 slice=0
lTRACE tick=48 pid=4 pri=0 slice=0
eTRACE tick=48 pid=4 pri=0 slice=0
mTRACE tick=48 pid=4 pri=0 slice=0
eTRACE tick=49 pid=4 pri=0 slice=0
nTRACE tick=49 pid=4 pri=0 slice=0
tTRACE tick=49 pid=4 pri=0 slice=0
eTRACE tick=49 pid=4 pri=0 slice=0
dTRACE tick=49 pid=4 pri=0 slice=0
 fTRACE tick=49 pid=4 pri=0 slice=0
oTRACE tick=49 pid=4 pri=0 slice=0
rTRACE tick=49 pid=4 pri=0 slice=0
 TRACE tick=50 pid=4 pri=0 slice=0
aTRACE tick=50 pid=4 pri=0 slice=0
 TRACE tick=50 pid=4 pri=0 slice=0
mTRACE tick=50 pid=4 pri=0 slice=0
oTRACE tick=50 pid=4 pri=0 slice=0
dTRACE tick=50 pid=4 pri=0 slice=0
eTRACE tick=50 pid=4 pri=0 slice=0
rTRACE tick=50 pid=4 pri=0 slice=0
nTRACE tick=51 pid=4 pri=0 slice=0
 TRACE tick=51 pid=4 pri=0 slice=0
RTRACE tick=51 pid=4 pri=0 slice=0
ITRACE tick=51 pid=4 pri=0 slice=0
STRACE tick=51 pid=4 pri=0 slice=0
CTRACE tick=51 pid=4 pri=0 slice=0
-TRACE tick=51 pid=4 pri=0 slice=0
VTRACE tick=51 pid=4 pri=0 slice=0
 TRACE tick=52 pid=4 pri=0 slice=0
mTRACE tick=52 pid=4 pri=0 slice=0
uTRACE tick=52 pid=4 pri=0 slice=0
lTRACE tick=52 pid=4 pri=0 slice=0
tTRACE tick=52 pid=4 pri=0 slice=0
iTRACE tick=52 pid=4 pri=0 slice=0
pTRACE tick=52 pid=4 pri=0 slice=0
rTRACE tick=52 pid=4 pri=0 slice=0
oTRACE tick=52 pid=4 pri=0 slice=0
cTRACE tick=53 pid=4 pri=0 slice=0
eTRACE tick=53 pid=4 pri=0 slice=0
sTRACE tick=53 pid=4 pri=0 slice=0
soTRACE tick=53 pid=4 pri=0 slice=0
rTRACE tick=53 pid=4 pri=0 slice=0
 TRACE tick=53 pid=4 pri=0 slice=0
uTRACE tick=53 pid=4 pri=0 slice=0
sTRACE tick=53 pid=4 pri=0 slice=0
iTRACE tick=53 pid=4 pri=0 slice=0
nTRACE tick=54 pid=4 pri=0 slice=0
gTRACE tick=54 pid=4 pri=0 slice=0
 TRACE tick=54 pid=4 pri=0 slice=0
ATRACE tick=54 pid=4 pri=0 slice=0
NTRACE tick=54 pid=4 pri=0 slice=0
STRACE tick=54 pid=4 pri=0 slice=0
ITRACE tick=54 pid=4 pri=0 slice=0
 TRACE tick=54 pid=4 pri=0 slice=0
CTRACE tick=54 pid=4 pri=0 slice=0
.TRACE tick=55 pid=4 pri=0 slice=0
TRACE tick=55 pid=4 pri=0 slice=0

TRACE tick=55 pid=4 pri=0 slice=0
TRACE tick=55 pid=4 pri=0 slice=0

TRACE tick=55 pid=4 pri=0 slice=0
ATRACE tick=55 pid=4 pri=0 slice=0
CTRACE tick=55 pid=4 pri=0 slice=0
KTRACE tick=55 pid=4 pri=0 slice=0
NTRACE tick=55 pid=4 pri=0 slice=0
OTRACE tick=56 pid=4 pri=0 slice=0
WTRACE tick=56 pid=4 pri=0 slice=0
LTRACE tick=56 pid=4 pri=0 slice=0
ETRACE tick=56 pid=4 pri=0 slice=0
DTRACE tick=56 pid=4 pri=0 slice=0
GTRACE tick=56 pid=4 pri=0 slice=0
MTRACE tick=56 pid=4 pri=0 slice=0
ENTRACE tick=56 pid=4 pri=0 slice=0
TTRACE tick=57 pid=4 pri=0 slice=0
STRACE tick=57 pid=4 pri=0 slice=0
TRACE tick=57 pid=4 pri=0 slice=0

TRACE tick=57 pid=4 pri=0 slice=0
TRACE tick=57 pid=4 pri=0 slice=0

TRACE tick=57 pid=4 pri=0 slice=0
xTRACE tick=57 pid=4 pri=0 slice=0
vTRACE tick=57 pid=4 pri=0 slice=0
6TRACE tick=58 pid=4 pri=0 slice=0
 TRACE tick=58 pid=4 pri=0 slice=0
iTRACE tick=58 pid=4 pri=0 slice=0
sTRACE tick=58 pid=4 pri=0 slice=0
 TRACE tick=58 pid=4 pri=0 slice=0
iTRACE tick=58 pid=4 pri=0 slice=0
